Statistic,WEIGHT,WEEK,dummy_LW,dummy_ELW,dummy_EB,dummy_MH_4,dummy_MH_6,dummy_MH_9,dummy_MH_10,dummy_MH_16,dummy_MH_19,dummy_MH_20,dummy_MH_21,dummy_COM_4,dummy_COM_5,dummy_COM_6,dummy_COM_9,dummy_COM_10,dummy_COM_11,dummy_COM_12,dummy_COM_13,dummy_COM_15
Mean_sample,3106.15518476905,38.1875951664067,0.0541139903096146,0.00472035207024104,0.0709232407055167,0.00176644578721848,0.0161653872959421,0.00146859766616829,0.00575348202147455,8.15887592315715e-05,0.000552444369736665,5.20988462563047e-05,9.24017273225026e-05,0.00368329013061083,0.00796227650332204,0.00424851346263677,0.00614274887274808,0.00758283962304027,0.0399283591714121,0.00643371601410404,0.000900425342844813,0.00470953910215011
SD_sample,418.607802703354,1.46226895735764,0.226242605796956,0.0685425048037207,0.256696707041925,0.0419919895914066,0.126111391964334,0.0382941552795172,0.0756332274151058,0.0090322855745923,0.0234976534510735,0.00721776857324484,0.00961214232445692,0.060578272604587,0.0888756795799,0.0650420460512437,0.07813463707123,0.0867487611651394,0.19579101865924,0.0799520456023196,0.02999359033804,0.0684643261214232
Correlation_with_CP_sample,-0.0621573005195798,-0.0829547134348359,0.066817488923056,0.113790988102893,0.0545432299215144,0.00704084311711514,0.000836356812803006,0.00522774858454655,0.0040506607931321,0.00157361410555031,0.00427642208581217,-0.00038359788965162,-0.000510870650906789,0.0154471408735672,0.0044221661392093,0.00708066631839253,-0.000854400951846222,0.00112797416860753,0.0109524486330438,-0.000100364409000261,0.0052074436583187,0.0296691189460103
Mean_all,3085.68867579048,38.3403069654978,0.0642859887667353,0.00532563560303176,0.0721875701011625,0.00179393288089789,0.0145764436446593,0.00156074131271087,0.00728575853111646,7.65262470247546e-05,0.00101257690805716,0.00015173873873578,0.000214470554966373,0.00366931859124705,0.00764211465996564,0.00462146275487264,0.0153377648489658,0.02034021664482,0.0388789463156881,0.00950173530654999,0.00100009623257673,0.0116760003507727
SD_all,429.855806986458,1.54978945393732,0.245261738091584,0.0727823807544532,0.258798274379388,0.0423168438551028,0.119849804559793,0.0394753836089508,0.0850451564125503,0.00874759486319229,0.0318049041547896,0.0123172953167606,0.0146432451243838,0.0604636741610033,0.0870845292476008,0.0678240838326001,0.122892321886514,0.141161250973124,0.193306456493235,0.0970126559980811,0.0316084856999564,0.107422880042654
Correlation_with_CP_all,-0.0638327394020378,-0.0821007596293757,0.0640931502265397,0.110286666866191,0.055986447260119,0.00664772382812716,0.00141592458687284,0.00686212741460794,0.00783889974419074,0.000852773228509119,0.00468044582272307,0.0012172395576502,0.00399360012246039,0.0154486974739615,0.00587407850505102,0.00527503767358268,-0.0020741729267027,-0.0019199230305914,0.0103627399060339,-0.00101048589456193,0.0054752050160839,0.0254093083257463
