sample,pvalue_f_edu,pvalue_f_bac,pvalue_m_edu,pvalue_m_bac,pvalue_c_edu,pvalue_c_bac,pvalue_p_edu,pvalue_p_bac,pvalue_c_urban,pvalue_p_urban
LR,0.0410632544248245,0.0632778288947034,0.00378880610363382,0.0445630397938312,0.0511165031698477,0.695196302183261,0,0,0.139791782746762,0.0158974353561717
SR,0.00000000000296006719423895,0.000000000000367641392607802,0.0000000000000000801041603193041,0.0000000000000643007586787341,0.00000000000000576708526706659,0.00000161973734018483,0.0000291863656274021,0.0000373754391031376,0.444503867558812,0.63223529032957
