outcome,mean,sd,count
income,359174.764144537,320037.429067267,527200
log_income,12.9824702534517,0.537912108647097,381923
work,0.724436646433991,0.446798131593679,527200
highest_edu,14.9390700834241,2.41893534571055,531381
bachelor,0.674137765558046,0.468696545766155,531381
marr,0.373928417497163,0.483845396721846,570685
major,0.0764491654021244,0.265715683458122,527200
total_dot,8262.81335546282,60545.0759646124,527200
outpatient,7.73953528072838,9.82768353748869,527200
eme_dummy,0.134882397572079,1.05163323491365,527200
