outcome,mean,sd,count
income,347491.539810272,327074.674944227,399520
log_income,12.9687042816457,0.562979544534384,280795
work,0.702830897076492,0.457012198927835,399520
highest_edu,14.8047284855644,2.57796968486612,402962
bachelor,0.658347437227332,0.474264322194709,402962
marr,0.350598285040087,0.477157894581059,433710
major,0.0767170604725671,0.266142312301318,399520
total_dot,8699.09335452543,78362.6610724726,399520
outpatient,7.81208950740889,9.9457144034141,399520
eme_dummy,0.140844012815378,0.784259903825363,399520
