outcome,mean,sd,count
income,349629.015624208,312723.325607311,374931
log_income,12.9701830795035,0.531553891503661,268591
work,0.716374479570908,0.45075783577268,374931
highest_edu,14.6969725793582,2.49532429892562,378474
bachelor,0.62556741017877,0.483976698189206,378474
marr,0.3976826900214,0.489419821171027,405069
major,0.0782570659668046,0.268576041342816,374931
total_dot,8745.41685003374,77386.6578276682,374931
outpatient,7.8871072277299,9.92660455020827,374931
eme_dummy,0.136942530758993,0.999555656421668,374931
