"",marr_reg_list[[1]],marr_reg_list[[2]],marr_reg_list[[3]],marr_reg_list[[4]],marr_reg_list[[5]],marr_reg_list[[6]],marr_reg_list[[7]],marr_reg_list[[8]],marr_reg_list[[9]],marr_reg_list[[10]],marr_reg_list[[11]],marr_reg_list[[12]],marr_reg_list[[13]],marr_reg_list[[14]],marr_reg_list[[15]],marr_reg_list[[1..,marr_reg_list[[1..,marr_reg_list[[1..,marr_reg_list[[1..,marr_reg_list[[2..,fert_reg_list[[1]],fert_reg_list[[2]],fert_reg_list[[3]],fert_reg_list[[4]],fert_reg_list[[5]],fert_reg_list[[..,fert_reg_list[[7]],fert_reg_list[[8]],fert_reg_list[[9]],fert_reg_list[[10]],fert_reg_list[[11]],fert_reg_list[[12]],fert_reg_list[[13]],fert_reg_list[[14]],fert_reg_list[[15]],fert_reg_list[[1..,fert_reg_list[[1..,fert_reg_list[[1..,fert_reg_list[[1..,fert_reg_list[[2..
Dependent Var.:,marr_both,marr_both,marr_both,marr_both,marr_both,marr_old,marr_old,marr_old,marr_old,marr_old,marr_young,marr_young,marr_young,marr_young,marr_young,marr_none,marr_none,marr_none,marr_none,marr_none,fert_both,fert_both,fert_both,fert_both,fert_both,fert_old,fert_old,fert_old,fert_old,fert_old,fert_young,fert_young,fert_young,fert_young,fert_young,fert_none,fert_none,fert_none,fert_none,fert_none
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes
mother_edu,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes
__________________,___________________,___________________,___________________,___________________,___________________,__________________,___________________,___________________,___________________,___________________,___________________,___________________,___________________,___________________,___________________,__________________,__________________,__________________,__________________,__________________,___________________,____________________,____________________,____________________,____________________,_________________,___________________,___________________,___________________,___________________,___________________,___________________,___________________,___________________,___________________,__________________,__________________,__________________,__________________,__________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"9,571,309","9,571,309","9,570,901","9,571,309","9,570,901","9,504,080","9,504,080","9,503,683","9,504,080","9,503,683","9,540,850","9,540,850","9,540,445","9,540,850","9,540,445","9,473,621","9,473,621","9,473,227","9,473,621","9,473,227","9,334,652","9,334,652","9,334,203","9,334,652","9,334,203","9,334,652","9,334,652","9,334,203","9,334,652","9,334,203","9,277,958","9,277,958","9,277,510","9,277,958","9,277,510","9,277,958","9,277,958","9,277,510","9,277,958","9,277,510"
R2,0.11099,0.11481,0.11513,0.11481,0.11513,0.02558,0.03350,0.03358,0.03351,0.03358,0.03065,0.03643,0.03764,0.03644,0.03764,0.18203,0.18881,0.19025,0.18882,0.19026,0.00102,0.00108,0.00110,0.00108,0.00110,0.00237,0.00272,0.00279,0.00272,0.00279,0.00727,0.00784,0.00823,0.00784,0.00823,0.00885,0.00940,0.00975,0.00940,0.00975
Within R2,0.00018,0.00448,0.00449,0.00448,0.00449,5.29e-5,0.00819,0.00819,0.00819,0.00819,0.00016,0.00612,0.00616,0.00613,0.00616,5.92e-5,0.00834,0.00838,0.00835,0.00839,5.12e-6,7.42e-5,7.44e-5,7.43e-5,7.44e-5,3.55e-7,0.00035,0.00035,0.00035,0.00035,5.17e-5,0.00063,0.00063,0.00063,0.00063,1.53e-5,0.00057,0.00057,0.00057,0.00057
