V1,V2,V3
outpatient_count1,13.7322896039747,12.1319200879125
outpatient_count2,13.7322896039747,12.1319200879125
outpatient_count3,13.7323343414267,12.1319318721201
outpatient_count4,13.7323343414267,12.1319318721201
total_dot1,7739.90847907281,79018.9339263789
total_dot2,7739.90847907281,79018.9339263789
total_dot3,7739.93212143267,79019.188015485
total_dot4,7739.93212143267,79019.188015485
eme_dummy1,0.199771348247716,0.39982843213899
eme_dummy2,0.199771348247716,0.39982843213899
eme_dummy3,0.199771485485375,0.399828535190014
eme_dummy4,0.199771485485375,0.399828535190014
major1,0.0387956595470198,0.193107640081968
major2,0.0387956595470198,0.193107640081968
major3,0.038795910690683,0.193108239894404
major4,0.038795910690683,0.193108239894404
