V1,V2,V3
md1,0.0605245467887747,0.238456138199116
md2,0.0605245467887747,0.238456138199116
md3,0.060523559618479,0.238454318832257
md_visit1,0.362965352641538,2.33537322424486
md_visit2,0.362965352641538,2.33537322424486
md_visit3,0.362808187927906,2.31881388903992
psy1,0.0103750070036943,0.101328016476914
psy2,0.0103750070036943,0.101328016476914
psy3,0.0103743520942837,0.101324851851246
psy_visit1,0.0929379787789088,1.24651289807011
psy_visit2,0.0929379787789088,1.24651289807011
psy_visit3,0.0928337725992301,1.23132836762697
anx1,0.0328497772455789,0.178243293043247
anx2,0.0328497772455789,0.178243293043247
anx3,0.0328484981795922,0.178239940757869
anx_visit1,0.161705050493105,1.39200295849989
anx_visit2,0.161705050493105,1.39200295849989
anx_visit3,0.161665279187072,1.39008511401442
dep1,0.0185284489716562,0.134852314670783
dep2,0.0185284489716562,0.134852314670783
dep3,0.0185279754114114,0.134850623878055
dep_visit1,0.141470992076455,1.50179054916788
dep_visit2,0.141470992076455,1.50179054916788
dep_visit3,0.141466819104663,1.50176319411854
