outcome,mean,sd,count
income,354917.900762401,326632.354274287,709469
log_income,12.9779111124194,0.557081490915661,506044
work,0.713271474863595,0.452233972933469,709469
highest_edu,14.9209881652833,2.5048905926374,715184
bachelor,0.677337580259066,0.46749512106108,715184
marr,0.355288421949686,0.478600938748971,769943
major,0.076271126715896,0.265431613133318,709469
total_dot,8537.19829337152,77146.3074607508,709469
outpatient,7.77134589390093,9.84671902421715,709469
eme_dummy,0.137628282560619,0.712260555929538,709469
