outcome,mean,sd,count
income,355080.007601142,321305.135002737,1611600
log_income,12.9776219446747,0.544953762514315,1156558
work,0.717645817820799,0.450144891915449,1611600
highest_edu,14.8747273142368,2.47681032460883,1625039
bachelor,0.664233904540137,0.472257728199143,1625039
marr,0.371240047523221,0.483136635953092,1745697
major,0.0767913874410524,0.266260237823961,1611600
total_dot,8495.88025688757,72197.3344327997,1611600
outpatient,7.78787105981633,9.85930543443529,1611600
eme_dummy,0.136570488955076,0.904188845333556,1611600
